departamento;ciudad;latitud;longitud
Bogotá;Bogota;4,7111;-74,0722
Valle del Cauca;Cali;3,4206;-76,5222
Antioquia;Medellin;6,2308;-75,5906
Atlántico;Barranquilla;10,9833;-74,8019
Bolívar;Cartagena;10,4;-75,5
Santander;Bucaramanga;7,1333;-73
Norte de Santander;Cucuta;7,8942;-72,5039
Huila;Palermo;2,8917;-75,4375
Atlántico;Soledad;10,9167;-74,75
Meta;Villavicencio;4,15;-73,6333
Risaralda;Pereira;4,8143;-75,6946
Antioquia;Bello;6,3333;-75,5667
Tolima;Ibague;4,4333;-75,2333
Cesar;Valledupar;10,4833;-73,25
Cundinamarca;Soacha;4,5872;-74,2214
Magdalena;Santa Marta;11,2419;-74,2053
Caldas;Manizales;5,0675;-75,51
Valle del Cauca;Buenaventura;3,8772;-77,0267
Nariño;Pasto;1,2078;-77,2772
Córdoba;Monteria;8,75;-75,8833
Huila;Neiva;2,9345;-75,2809
Valle del Cauca;Palmira;3,5833;-76,25
Bogotá;Fontibon;4,6786;-74,1411
Bogotá;Usme;4,4464;-74,1522
Quindío;Armenia;4,53;-75,68
Cauca;Popayan;2,4542;-76,6092
Santander;Barrancabermeja;7,0667;-73,85
Santander;Floridablanca;7,2167;-73,0667
Sucre;Sincelejo;9,295;-75,3961
Antioquia;Itagui;6,1667;-75,6167
Antioquia;Envigado;6,1667;-75,5667
Valle del Cauca;Tulua;4,0833;-76,2
Nariño;Tumaco;1,8067;-78,7647
La Guajira;Uripa;11,9167;-72
Cundinamarca;Zipaquira;5,0333;-74
Caquetá;Florencia;1,6139;-75,6128
Antioquia;Turbo;8,1;-76,7333
Cauca;Santander de Quilichao;3,0167;-76,4833
Risaralda;Dosquebradas;4,8333;-75,6833
Cundinamarca;Fusagasuga;4,3452;-74,3618
Nariño;Ipiales;0,8303;-77,6444
La Guajira;Riohacha;11,5442;-72,9069
Boyacá;Tunja;5,5333;-73,3667
Santander;Giron;7,0708;-73,1731
Santander;Piedecuesta;7,0833;-73
Cundinamarca;Facatativa;4,8167;-74,3667
Valle del Cauca;Cartago;4,7;-75,9167
Atlántico;Malambo;10,85;-74,75
Antioquia;Rionegro;6,1535;-75,3743
Huila;Pitalito;1,8989;-76,0419
Boyacá;Duitama;5,8333;-73,0167
Chocó;Quibdo;5,6922;-76,6581
Valle del Cauca;Jamundi;3,2667;-76,55
Cundinamarca;Girardot;4,305;-74,8017
Magdalena;Cienaga;11,0069;-74,25
Valle del Cauca;Guadalajara de Buga;3,9;-76,3019
Cundinamarca;Mosquera;4,7078;-74,2328
Cundinamarca;Chia;4,85;-74,05
Bolívar;Magangue;9,25;-74,7667
La Guajira;Maicao;11,3778;-72,2389
Antioquia;Apartado;7,8833;-76,6333
La Guajira;Uribia;11,9167;-72
Norte de Santander;Ocana;8,2333;-73,35
Boyacá;Sogamoso;5,7167;-72,9208
Bolívar;Turbaco;10,35;-75,3333
Cundinamarca;Madrid;4,7344;-74,2683
Cesar;Aguachica;8,3167;-73,6333
Norte de Santander;Villa del Rosario;7,8339;-72,4742
Casanare;Yopal;5,35;-72,41
Antioquia;Sabanalarga;6,85;-75,8167
Arauca;Arauca;7,0903;-70,7617
Valle del Cauca;Candelaria;3,4;-76,3833
Valle del Cauca;Yumbo;3,585;-76,4958
Córdoba;Cerete;8,8833;-75,8
Norte de Santander;Los Patios;7,8333;-72,5167
Cundinamarca;Funza;4,7167;-74,2167
Magdalena;Fundacion;10,5214;-74,1867
Córdoba;Sahagun;8,95;-75,45
Córdoba;Montelibano;7,975;-75,4208
Antioquia;Caucasia;7,9833;-75,2
Antioquia;Caldas;6,09;-75,638
Boyacá;Chiquinquira;5,6333;-73,75
Atlántico;Sabanalarga;10,63;-74,9236
Antioquia;Chigorodo;7,6675;-76,6808
Antioquia;Sabaneta;6,15;-75,6
Cundinamarca;Cajica;4,9167;-74,0333
Córdoba;Tierralta;7,9167;-76,1667
Tolima;Espinal;4,2;-74,8333
Bolívar;Arjona;10,2586;-75,3461
Meta;Acacias;3,9878;-73,7597
Antioquia;Copacabana;6,3333;-75,5
Risaralda;Santa Rosa de Cabal;4,8667;-75,6167
Caquetá;San Vicente del Caguan;2,1167;-74,7667
Caldas;La Dorada;5,4538;-74,6647
Bolívar;Turbana;10,2833;-75,45
Magdalena;El Banco;8,9983;-73,9747
San Andrés y Providencia;San Andres;12,5847;-81,7006
Quindío;Calarca;4,5333;-75,65
Antioquia;La Estrella;6,1667;-75,6667
